tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
35220-M-1058,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Bomba de fosfato 1,5.12 - Sistema de Dosagem Química,,1,35220-M-1058 e 35220-P-1059,5.12 - Sistema de Dosagem Química.txt,Manual completo
35220-P-1059,P,Bombas,Bomba de fosfato 2,5.12 - Sistema de Dosagem Química,,1,35220-M-1058 e 35220-P-1059,5.12 - Sistema de Dosagem Química.txt,Manual completo
37220-M-5016,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tanque de ar comprimido (Ar de Serviço e Instrumentação),5.11 - Serviço e Instrumento do Sistema de Ar,,1,TANQUE DE AR COMPRIMIDO 37220-M-5016,5.11 - Serviço e Instrumento do Sistema de Ar.txt,Manual completo
37222-M-5141,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Queimador de Partida 1 (Esquerda),,,0,,,Somente lista oficial (sem contexto)
37222-M-5143,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Queimador de Partida 3 (Esquerda),,,0,,,Somente lista oficial (sem contexto)
37222-M-5142,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Queimador de Partida 2 (Direita),,,0,,,Somente lista oficial (sem contexto)
37222-M-5144,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Queimador de Partida 4 (Direita),,,0,,,Somente lista oficial (sem contexto)
37224-GT-5373,GT,Transmissores de Posição (dampers),Transmissor de posição do damper de ar,5.16 - Sistema de Óleo,,1,"(37224-GT-5373, 37224-GT-5374, 37224-GT-5376, 37224-GT-5377).",5.16 - Sistema de Óleo.txt,Manual completo
37224-GT-5374,GT,Transmissores de Posição (dampers),Transmissor de posição do damper de ar,5.16 - Sistema de Óleo,,1,"(37224-GT-5373, 37224-GT-5374, 37224-GT-5376, 37224-GT-5377).",5.16 - Sistema de Óleo.txt,Manual completo
37224-GT-5376,GT,Transmissores de Posição (dampers),Transmissor de posição do damper de ar,5.16 - Sistema de Óleo,,1,"(37224-GT-5373, 37224-GT-5374, 37224-GT-5376, 37224-GT-5377).",5.16 - Sistema de Óleo.txt,Manual completo
37224-GT-5377,GT,Transmissores de Posição (dampers),Transmissor de posição do damper de ar,5.16 - Sistema de Óleo,,1,"(37224-GT-5373, 37224-GT-5374, 37224-GT-5376, 37224-GT-5377).",5.16 - Sistema de Óleo.txt,Manual completo
37222-FIC-5885,FIC,,Medidor do fluxo de óleo (BPF / Diesel),5.16 - Sistema de Óleo,Operação Normal,1,• O fluxo de óleo é controlado pelo medidor do fluxo de óleo 37222-FIC-5885 com a válvula de controle do,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37222-FV-5892,FV,Válvulas de Controle de Vazão,Válvula de controle do fluxo de óleo combustível leve (Queimadores 1 e 3),5.16 - Sistema de Óleo,Operação Normal,2,Controle do fluxo de óleo combustível leve 37222-FV-5892 (Queimadores 1 e 3),5.16 - Sistema de Óleo.txt,Manual completo + Vault
37221-M-5888,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Vapor saturado / Resfriador de amostras,,,0,,,Somente lista oficial (sem contexto)
37221-M-5809,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Vapor principal / Resfriador de amostras,,,0,,,Somente lista oficial (sem contexto)
37220-PI-2465,PI,Indicadores de Pressão,Medição de pressão ar de instrumentos,,,0,,,Somente lista oficial (sem contexto)
37220-PI-2466,PI,Indicadores de Pressão,Medição de pressão ar de instrumentos,,,0,,,Somente lista oficial (sem contexto)
37220-PI-2467,PI,Indicadores de Pressão,Medição de pressão ar de instrumentos,,,0,,,Somente lista oficial (sem contexto)
35221-M-5674,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tubulão da caldeira,,,0,,,Somente lista oficial (sem contexto)
35221-M-1182,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tanque de purga (Desc. Contínua),,,0,,,Somente lista oficial (sem contexto)
37221-M-5073,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Sistema Dolezal,,,0,,,Somente lista oficial (sem contexto)
37221-M-5082,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Aquecedor de Água,,,0,,,Somente lista oficial (sem contexto)
37225-M-1736,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tanque de Condensado,,,0,,,Somente lista oficial (sem contexto)
35221-M-1731,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Desaerador,,,0,,,Somente lista oficial (sem contexto)
37221-FIC-5015,FIC,Controladores Indicadores de Vazão,Controlador do fluxo de água de alimentação da caldeira (opera em cascata com o controlador de nível do tubulão 37221-LIC-5071 e comanda a válvula 37221-FV-5015) [descrição extraída do manual completo — não consta na lista oficial Klabin],,,1,"Quando o controle de fluxo de água de alimentação **37221-FIC-5015** estiver em operação, o controlador de nível do tubulão **37221-LIC-5071** também está normalmente em operação (o controle de 3 pontos do nível do tubulão também pode ser usado durante a partida).",03_Partida/Caldeira_Partida_Agua_Vapor_Caldeira.md,Manual completo (sem lista oficial)
37221-PI-5052,PI,Indicadores de Pressão,Indicador de pressão do tubulão de vapor (parâmetro de referência na curva de abertura da válvula de nível/purga do pré-aquecedor) [descrição extraída do manual completo — não consta na lista oficial Klabin],,,1,"* A válvula de pressão do sistema de alimentação de nitrogênio é ajustada para **0,3 bar(g)**. Quando a pressão da caldeira (**37221-PI-5052**) atinge 0,3 bar(g), a válvula abre automaticamente.",05_Desligamento/Caldeira_Desligamento_Conservacao_Protecao_Umida_Nitrogenio.md,Manual completo (sem lista oficial)
37220-XS-6225,XS,Chaves/Status Discretos (sequências),Proteção principal: liberação (permissivo) para partida dos ventiladores de ar [descrição extraída do manual completo — não consta na lista oficial Klabin],,,1,## Descrição de SRS — Visão Geral e Nível de SRS 1: Desarme para os Ventiladores de Ar (37220-XS-6225),09_Intertravamentos_SRS/Caldeira_Intertravamento_SRS1_Ventiladores.md,Manual completo (sem lista oficial)
