tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37221-M-5075,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Superaquecedor Primário,5.2 - Sistema de Água e Vapor,,1,SUPERAQUECEDOR PRIMÁRIO 37221-M-5075,5.2 - Sistema de Água e Vapor.txt,Manual completo
37221-M-5076,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Superaquecedor Secundário,5.2 - Sistema de Água e Vapor,,1,SUPERAQUECEDOR SECUNDÁRIO 37221-M-5076,5.2 - Sistema de Água e Vapor.txt,Manual completo
37221-M-5077,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Superaquecedor Terciário,5.2 - Sistema de Água e Vapor,,1,SUPERAQUECEDOR TERCIÁRIO 37221-M-5077,5.2 - Sistema de Água e Vapor.txt,Manual completo
37221-V-5502,V,Válvulas Manuais / Bloqueio,Válvula de segurança da caldeira,5.2 - Sistema de Água e Vapor,,4,"VÁLVULAS DE SEGURANÇA DA CALDEIRA 37221-V-5502,",5.2 - Sistema de Água e Vapor.txt,Manual completo
37221-V-5503,V,Válvulas Manuais / Bloqueio,Válvula de segurança da caldeira (tubulão 1/2),5.2 - Sistema de Água e Vapor,,4,37221-V-5503 e 37221-V-5504,5.2 - Sistema de Água e Vapor.txt,Manual completo
37221-V-5504,V,Válvulas Manuais / Bloqueio,Válvula de segurança principal do vapor,5.2 - Sistema de Água e Vapor,,4,37221-V-5503 e 37221-V-5504,5.2 - Sistema de Água e Vapor.txt,Manual completo
37223-M-5231,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Juntas de expansão abaixo da fornalha,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,JUNTAS DE EXPANSÃO ABAIXO DA FORNALHA 37223-M-5231,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-V-5285 a 37223-V-5289,V,Válvulas Manuais / Bloqueio,Guilhotinas da rosca transportadora,,,0,,,Somente lista oficial (sem contexto)
37223-V-5291 a 37223-V-5293,V,Válvulas Manuais / Bloqueio,Guilhotinas da rosca transportadora,,,0,,,Somente lista oficial (sem contexto)
37223-V-5916 a 37223-V-5217,V,Válvulas Manuais / Bloqueio,Guilhotinas da rosca transportadora,,,0,,,Somente lista oficial (sem contexto)
37223-V-5919,V,Válvulas Manuais / Bloqueio,Guilhotina da rosca transportadora,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,"5293, 37223-V-5916,- 37223-V-5217, 37223-V-5919, 37223-V-5921",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-V-5921,V,Válvulas Manuais / Bloqueio,Guilhotina da rosca transportadora,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,"5293, 37223-V-5916,- 37223-V-5217, 37223-V-5919, 37223-V-5921",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5191,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca transportadora de cinzas residuais resfriada por água (Rosca 1),5.9 - Sistema de Manuseio de Cinza de Fundo,,4,"ROSCAS TRANSPORTADORAS, RESFRIADOS A ÁGUA 37223-M-5191,",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5192,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca transportadora de cinzas residuais resfriada por água (Rosca 2),5.9 - Sistema de Manuseio de Cinza de Fundo,,4,"37223-M-5192, 37223-M-5193",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
